epoch,cc_sim,cc_unsim,mse_MSI,mse_HSI,mse_HSI_R,mse_MSI_R,mse_srf,mse_psf
0,0.4384206533432007,1.0485470294952393,0.15292498469352722,0.21087299287319183,0.19623838365077972,0.19401273131370544,0.014362041838467121,0.1931515634059906
0,0.40739282965660095,-0.1892482489347458,0.1606309413909912,0.20792043209075928,0.2130293995141983,0.2108350396156311,0.014264597557485104,0.1931510716676712
1,0.3677482604980469,0.5228609442710876,0.15332022309303284,0.21195514500141144,0.23739200830459595,0.23556716740131378,0.01417003944516182,0.19315046072006226
1,0.7038700580596924,-0.5753434300422668,0.14695359766483307,0.2076174020767212,0.23360824584960938,0.23255951702594757,0.014069775119423866,0.19314976036548615
2,0.3184153437614441,0.5069297552108765,0.15181386470794678,0.21182909607887268,0.24390853941440582,0.24313101172447205,0.013969030231237411,0.1931488811969757
2,0.7540191411972046,-0.6619113683700562,0.14666585624217987,0.20773613452911377,0.23331095278263092,0.23355890810489655,0.013863887637853622,0.19314782321453094
3,0.29472580552101135,0.5043846964836121,0.1511182188987732,0.21076323091983795,0.2429879903793335,0.2431206852197647,0.013760221190750599,0.19314643740653992
3,0.7946709990501404,-0.7024964690208435,0.14655183255672455,0.20579226315021515,0.23707444965839386,0.2378637194633484,0.013650363311171532,0.1931447982788086
4,0.2880583703517914,0.5030673742294312,0.15009544789791107,0.21031828224658966,0.24049127101898193,0.24131739139556885,0.013541184365749359,0.19314263761043549
4,0.8053325414657593,-0.7117404341697693,0.14896446466445923,0.2044038474559784,0.24054136872291565,0.24181044101715088,0.01342447567731142,0.19314005970954895
5,0.2988477051258087,0.5030079483985901,0.15134017169475555,0.21097685396671295,0.24312053620815277,0.24434641003608704,0.013309406116604805,0.19313651323318481
5,0.8146417140960693,-0.7309042811393738,0.15054108202457428,0.20707206428050995,0.2404795140028,0.2422218918800354,0.013191084377467632,0.19313213229179382
6,0.29382893443107605,0.5029590725898743,0.15249305963516235,0.21230801939964294,0.24336016178131104,0.245019793510437,0.013072634115815163,0.19312632083892822
6,0.8214486837387085,-0.713557243347168,0.1495332419872284,0.2070266753435135,0.2377815693616867,0.2401476502418518,0.012945659458637238,0.19311915338039398
7,0.29244837164878845,0.5019813776016235,0.15190479159355164,0.21141213178634644,0.24226482212543488,0.24403870105743408,0.012819393537938595,0.19310937821865082
7,0.8345124125480652,-0.733704686164856,0.1476081907749176,0.20736604928970337,0.2323751300573349,0.23489804565906525,0.012688403017818928,0.19309689104557037
8,0.2931625247001648,0.502642810344696,0.15286491811275482,0.21218863129615784,0.24123598635196686,0.2431095689535141,0.012560080736875534,0.19307924807071686
8,0.8388475179672241,-0.7245863676071167,0.15122674405574799,0.20684610307216644,0.23360896110534668,0.23612624406814575,0.012423058971762657,0.19305719435214996
9,0.292756587266922,0.5021029114723206,0.15404276549816132,0.21340076625347137,0.24384531378746033,0.2457481324672699,0.012281907722353935,0.19302688539028168
9,0.8455735445022583,-0.7297406196594238,0.14920282363891602,0.2071843445301056,0.2373897284269333,0.23969441652297974,0.012135631404817104,0.19298820197582245
10,0.2856428921222687,0.501457929611206,0.15268082916736603,0.21204090118408203,0.24341577291488647,0.24506472051143646,0.01199157815426588,0.19293396174907684
10,0.8497618436813354,-0.7291964292526245,0.14839670062065125,0.20564666390419006,0.23793287575244904,0.2398124784231186,0.011836417019367218,0.19286617636680603
11,0.2855187654495239,0.5011100769042969,0.15121819078922272,0.21089698374271393,0.24213577806949615,0.2432814985513687,0.011681326664984226,0.19277042150497437
11,0.846988320350647,-0.7025688886642456,0.15191277861595154,0.2068607211112976,0.24034060537815094,0.24161134660243988,0.011518683284521103,0.19264884293079376
12,0.27807101607322693,0.5015248656272888,0.1522616147994995,0.21186040341854095,0.24389518797397614,0.24447748064994812,0.011356431059539318,0.19247756898403168
12,0.8500688076019287,-0.6988464593887329,0.14769014716148376,0.20737013220787048,0.23868049681186676,0.23921023309230804,0.011187249794602394,0.19226785004138947
